,lang,Sum
BASIC,BASIC,2456
COBOL,COBOL,616
Ruby,Ruby,3217
Rust,Rust,518
R,R,12020
Objective-C,Objective-C,813
Nim,Nim,260
C#,C#,21268
Python,Python,11352
JavaScript,JavaScript,11450
Java,Java,17355
Julia,Julia,260
Go,Go,1276
